heading_ID,name_he,label
heading388,34.0,heading
heading389,358.0,heading
heading390,322.6,heading
heading391,287.4,heading
heading392,346.0,heading
heading393,236.0,heading
heading394,85.1,heading
heading395,210.9,heading
heading396,290.6,heading
heading397,235.6,heading
heading398,114.5,heading
heading399,354.0,heading
heading400,176.0,heading
heading401,79.4,heading
heading402,12.7,heading
heading403,21.0,heading
heading404,192.5,heading
heading405,210.8,heading
heading406,115.4,heading
heading407,287.2,heading
heading408,143.7,heading
heading409,342.7,heading
heading410,189.3,heading
heading411,10.0,heading
heading412,99.8,heading
heading413,190.8,heading
heading414,134.1,heading
heading415,45.7,heading
heading416,269.4,heading
heading417,334.5,heading
heading418,320.6,heading
heading419,32.0,heading
heading420,37.0,heading
heading421,33.5,heading
heading422,354.0,heading
heading423,277.1,heading
heading424,356.7,heading
heading425,260.3,heading
heading426,59.6,heading
heading427,169.5,heading
heading428,10.2,heading
heading429,267.4,heading
heading430,334.0,heading
heading431,305.7,heading
heading432,279.2,heading
heading433,145.1,heading
heading434,89.4,heading
heading435,216.0,heading
heading436,332.9,heading
heading437,123.2,heading
heading438,193.8,heading
heading439,22.0,heading
heading440,148.9,heading
heading441,86.0,heading
heading442,233.0,heading
heading443,318.0,heading
heading444,71.5,heading
heading445,33.0,heading
heading446,213.1,heading
heading447,136.1,heading
heading448,103.9,heading
heading449,76.0,heading
heading450,57.1,heading
heading451,288.5,heading
heading452,185.2,heading
heading453,83.8,heading
heading454,248.3,heading
heading455,150.7,heading
heading456,304.0,heading
heading457,195.90001,heading
heading458,296.7,heading
heading459,62.0,heading
heading460,145.6,heading
heading461,279.0,heading
heading462,163.9,heading
heading463,24.7,heading
heading464,193.5,heading
heading465,165.0,heading
heading466,209.1,heading
heading467,324.3,heading
heading468,325.0,heading
heading469,151.0,heading
heading470,24.8,heading
heading471,178.6,heading
heading472,101.0,heading
heading473,0.0,heading
heading474,123.0,heading
heading475,74.1,heading
heading476,346.2,heading
heading477,153.0,heading
heading478,347.5,heading
heading479,34.600002,heading
heading480,21.5,heading
heading481,168.6,heading
heading482,167.7,heading
heading483,237.3,heading
heading484,102.200005,heading
heading485,2.3,heading
heading486,142.6,heading
heading487,310.0,heading
heading488,263.3,heading
heading489,117.0,heading
heading490,203.7,heading
heading491,117.3,heading
heading492,178.1,heading
heading493,281.5,heading
heading494,325.6,heading
heading495,119.0,heading
heading496,280.0,heading
heading497,108.0,heading
heading498,166.1,heading
heading499,306.2,heading
heading500,31.6,heading
heading501,270.0,heading
heading502,83.0,heading
heading503,307.0,heading
heading504,313.0,heading
heading505,349.8,heading
heading506,141.3,heading
heading507,165.3,heading
heading508,169.0,heading
heading509,6.7000003,heading
heading510,337.0,heading
heading511,360.0,heading
heading512,80.5,heading
heading513,211.4,heading
heading514,250.0,heading
heading515,29.1,heading
heading516,308.6,heading
heading517,188.90001,heading
heading518,107.200005,heading
heading519,254.7,heading
heading520,154.0,heading
heading521,338.7,heading
heading522,233.0,heading
heading523,320.1,heading
heading524,359.2,heading
heading525,129.3,heading
heading526,189.3,heading
heading527,44.6,heading
heading528,286.5,heading
heading529,333.7,heading
heading530,65.1,heading
heading531,186.1,heading
heading532,,heading
heading533,75.0,heading
heading534,5.7,heading
heading535,123.6,heading
heading536,186.0,heading
heading537,153.8,heading
heading538,23.8,heading
heading539,129.0,heading
heading540,5.0,heading
heading541,131.0,heading
heading542,271.80002,heading
heading543,193.0,heading
heading544,181.1,heading
heading545,141.4,heading
heading546,337.9,heading
heading547,285.5,heading
heading548,78.0,heading
heading549,28.6,heading
heading550,295.5,heading
heading551,302.80002,heading
heading552,145.0,heading
heading553,342.7,heading
heading554,332.8,heading
heading555,245.1,heading
heading556,145.9,heading
heading557,225.0,heading
heading558,55.0,heading
heading559,38.0,heading
heading560,360.0,heading
heading561,188.5,heading
heading562,145.40001,heading
heading563,2.4,heading
heading564,288.0,heading
heading565,337.2,heading
heading566,269.4,heading
heading567,166.0,heading
heading568,131.90001,heading
heading569,182.5,heading
heading570,209.40001,heading
heading571,247.7,heading
heading572,320.0,heading
heading573,180.0,heading
heading574,77.0,heading
heading575,287.0,heading
heading576,80.0,heading
heading577,160.0,heading
heading578,181.0,heading
heading579,116.0,heading
heading580,245.40001,heading
heading581,285.0,heading
heading582,44.100002,heading
heading583,360.0,heading
heading584,31.300001,heading
heading585,70.3,heading
heading586,310.1,heading
heading587,341.6,heading
heading588,100.1,heading
heading589,334.1,heading
heading590,350.0,heading
heading591,116.0,heading
heading592,125.0,heading
heading593,66.5,heading
heading594,9.7,heading
heading595,343.7,heading
heading596,12.1,heading
heading597,278.2,heading
heading598,136.4,heading
heading599,86.0,heading
heading600,43.2,heading
heading601,239.0,heading
heading602,312.6,heading
heading603,154.8,heading
heading604,58.6,heading
heading605,358.6,heading
heading606,223.8,heading
heading607,299.8,heading
heading608,33.2,heading
heading609,133.4,heading
heading610,115.4,heading
heading611,66.0,heading
heading612,118.3,heading
heading613,297.6,heading
heading614,128.2,heading
heading615,208.40001,heading
heading616,176.2,heading
heading617,156.3,heading
heading618,50.1,heading
heading619,143.0,heading
